match_id,date,home_team,away_team,result_code,understat_home_win_prob,PolynomialLogReg_home_win_prob,Ridge_home_win_prob,Lasso_home_win_prob,KNN_home_win_prob,DecisionTree_home_win_prob,actual_home_win,RandomForest_home_win_prob,XGBoost_home_win_prob,Ensemble(RF+XGB)_home_win_prob
23381,2023-08-20,Lorient,Nice,1,0.0619,0.2054354004642973,0.1955959083286583,0.1673320514240754,0.2395795970033396,0.2597831691005073,0,0.1890324992351974,0.14689344491389567,0.16796297207454652
23396,2023-08-25,Nantes,Monaco,1,0.0003,0.0385926083034164,0.1885728230130429,0.1807169850796578,0.2192456185301456,0.1435066020391108,0,0.10484354800649846,0.12844177934159148,0.11664266367404497
23392,2023-08-26,Marseille,Brest,0,0.7603,0.5916453967305566,0.4281911266234662,0.3630331902605235,0.5537546075736617,0.2597831691005073,1,0.4171139866325226,0.31390423140957063,0.3655091090210466
23390,2023-08-27,Strasbourg,Toulouse,0,0.9442,0.2681920439601439,0.2965194378065712,0.2841437319914017,0.2763989577540117,0.2597831691005073,1,0.36941852992426666,0.24739734670299365,0.30840793831363017
23397,2023-08-27,Montpellier,Reims,2,0.2561,0.319865293199539,0.2775544313906713,0.2980697022776357,0.3658437816870507,0.2597831691005073,0,0.33052854205841126,0.21062808365494987,0.27057831285668055
23399,2023-09-02,Monaco,Lens,0,0.5591,0.8238571926286369,0.535722340929223,0.5029393148936431,0.5577187615577569,0.7328336717295563,1,0.7503765278704636,0.723329494923508,0.7368530113969858
23406,2023-09-02,Brest,Rennes,1,0.7868,0.4805478685771627,0.1371203581445202,0.126499541852912,0.3345404749450431,0.1351619393046386,0,0.22974974567238174,0.1737271243950179,0.20173843503369981
23398,2023-09-03,Toulouse,Clermont Foot,1,0.1222,0.2882091671199709,0.3284737401746187,0.3174680615127778,0.4414876966103632,0.2597831691005073,0,0.3493207593084757,0.3332857688627429,0.3413032640856093
23400,2023-09-03,Lille,Montpellier,0,0.4945,0.7509134160636335,0.4500454012241708,0.4834455497412611,0.5943613210779212,0.7045363307908469,1,0.8000330733941619,0.6839491014579359,0.7419910874260489
23402,2023-09-03,Nice,Strasbourg,0,0.91,0.5394230865120035,0.4011488483009975,0.3835420748951971,0.5290939321537934,0.2597831691005073,1,0.6582551673181319,0.5470977759016957,0.6026764716099138
23414,2023-09-17,Reims,Brest,2,0.4899,0.2935717864557653,0.3572950016336476,0.4276438623451492,0.4759201329396604,0.7328336717295563,0,0.4691719676457586,0.4405953105968888,0.4548836391213237
23408,2023-09-17,Strasbourg,Montpellier,1,0.7148,0.3085100272740497,0.2753324880497746,0.263950721880495,0.3020674903427836,0.2597831691005073,0,0.31936932309291083,0.20988738675182442,0.26462835492236764
23410,2023-09-17,Marseille,Toulouse,1,0.4169,0.7062042348097267,0.4900812375023138,0.3952275662822144,0.6504686141529005,0.2597831691005073,0,0.616707448601559,0.44238306067606076,0.5295452546388099
23417,2023-09-22,Monaco,Nice,2,0.589,0.3309766288963604,0.4897485971491221,0.4810447614455413,0.424344730141251,0.4030213930852685,0,0.6225046848422697,0.5432607724193906,0.5828827286308302
23420,2023-09-23,Nantes,Lorient,0,0.6029,0.4198178542831174,0.317165359073737,0.3283091622558358,0.3878839681345948,0.4797612927739659,1,0.549761181808811,0.4471890405175249,0.4984751111631679
23424,2023-09-23,Brest,Lyon,0,0.9018,0.1103394690197132,0.2637140901996953,0.2073120641181007,0.3139161658507905,0.1351619393046386,1,0.2806887518095916,0.1894821545632365,0.23508545318641405
23419,2023-09-24,Lens,Toulouse,0,0.8866,0.5514006903049694,0.4857888722165956,0.5394708059008102,0.4931555810113113,1.0,1,0.7433494980165104,0.7202393188121454,0.731794408414328
23423,2023-09-24,Montpellier,Rennes,1,0.4901,0.3697345186443292,0.2041983100015448,0.2013348008622086,0.3553961354176321,0.2597831691005073,0,0.22435591973516655,0.16403297369740022,0.1941944467162834
23418,2023-09-26,Lille,Reims,2,0.3879,0.5950090215828258,0.4403731290246602,0.4958536905404988,0.6091880558160008,0.7328336717295563,0,0.8376027322899958,0.7096600279458997,0.7736313801179477
23430,2023-10-01,Nice,Brest,1,0.6187,0.3531934298046102,0.383510359783413,0.3752229120001391,0.5917920924789578,0.2597831691005073,0,0.6261965236780576,0.42382462575211327,0.5250105747150854
23428,2023-10-01,Lorient,Montpellier,2,0.0443,0.1775290501235035,0.2208194142321543,0.2124426096860323,0.2980552609081718,0.2597831691005073,0,0.24255711703219326,0.16666774119035196,0.20461242911127261
23426,2023-10-01,Rennes,Nantes,0,0.7638,0.6479269398775771,0.4838601106676728,0.4824040943677,0.6047405275715949,1.0,1,0.9028822055137845,0.7531526719526237,0.8280174387332041
23434,2023-10-06,Strasbourg,Nantes,2,0.0977,0.269199342232564,0.3115760099466363,0.2863633300002267,0.4445547596234763,0.4797612927739659,0,0.3644379610733841,0.24491309840673672,0.3046755297400604
23438,2023-10-07,Reims,Monaco,2,0.423,0.531101086852563,0.1994823313070648,0.2425205924816885,0.3707652095083947,0.4030213930852685,0,0.31099283066368727,0.2568556730610043,0.2839242518623458
23439,2023-10-08,Lens,Lille,1,0.6768,0.5016925786599178,0.4088015728445979,0.4608626794652692,0.427265450469681,0.7328336717295563,0,0.5555015394823769,0.5537839698060619,0.5546427546442194
23442,2023-10-08,Brest,Toulouse,1,0.4612,0.2664434619838716,0.2930408886625438,0.2399334242857284,0.4509756334227794,0.4797612927739659,0,0.3405258845547401,0.2104484989295153,0.2754871917421277
23449,2023-10-21,Nice,Marseille,0,0.2698,0.2524229330952705,0.3276940477083006,0.2952374649559239,0.4344780453267229,0.1351619393046386,1,0.37415275687731714,0.26590622047846474,0.32002948867789094
23450,2023-10-22,Nantes,Montpellier,0,0.7286,0.2058657516775115,0.2721538843614877,0.2783949949687573,0.3663405877956231,0.2597831691005073,1,0.3478641862814464,0.18925576414119102,0.2685599752113187
23448,2023-10-22,Lyon,Clermont Foot,2,0.4737,0.4481964902792915,0.522026218040376,0.5031249885908403,0.4884792862179096,0.2597831691005073,0,0.6536908945913057,0.44198701312510047,0.5478389538582031
23444,2023-10-22,Toulouse,Reims,1,0.3185,0.2735754590574488,0.2733619021986429,0.2795313287840176,0.330979047079478,0.2597831691005073,0,0.31494647106463636,0.21609735534110727,0.26552191320287183
23445,2023-10-22,Lorient,Rennes,0,0.2142,0.0534601418170689,0.1909435882462065,0.1767978518702123,0.2440105093226612,0.1351619393046386,1,0.18842470398385505,0.09699012168023104,0.14270741283204305
23455,2023-10-27,Clermont Foot,Nice,2,0.0156,0.1277486987829082,0.1969298815704859,0.1837513525419223,0.2911821469529739,0.2597831691005073,0,0.12268020022779262,0.1430364362467397,0.13285831823726615
23456,2023-10-28,Reims,Lorient,0,0.5203,0.2844659823473543,0.4273838129080133,0.4672483434647533,0.4915094255270742,1.0,1,0.5267097517682992,0.4840090983290429,0.505359425048671
23457,2023-10-28,Lens,Nantes,0,0.9463,0.8137202914430497,0.4175251774514678,0.463170020612681,0.5621643321187136,0.7328336717295563,1,0.6067728913553911,0.5437565501423998,0.5752647207488955
23459,2023-10-29,Montpellier,Toulouse,0,0.9007,0.2628684907780825,0.3181137716166903,0.3002060062168578,0.3523070026442862,0.2597831691005073,1,0.3257644563091394,0.21187066328422055,0.26881755979668
23452,2023-10-29,Rennes,Strasbourg,1,0.3567,0.7609027036187124,0.510765657939331,0.5334911572881301,0.5724245411015092,1.0,0,0.9028822055137845,0.8401214818708299,0.8715018436923072
23454,2023-10-29,Lille,Monaco,0,0.2508,0.3633797844613978,0.3077962682414909,0.3726095611407867,0.4181916529197723,0.7328336717295563,1,0.4306098430275158,0.3549749225614048,0.39279238279446027
23465,2023-11-04,Lorient,Lens,1,0.2485,0.1828725341225141,0.1385126205719105,0.1403429839825949,0.2947272348919277,0.2597831691005073,0,0.2086370815511341,0.1576007132646536,0.18311889740789386
23464,2023-11-04,Marseille,Lille,1,0.4581,0.273964126748667,0.3856535156875714,0.3361802611371769,0.513825724741685,0.2597831691005073,0,0.4686503198724346,0.37292491229594,0.4207876160841873
23466,2023-11-05,Monaco,Brest,0,0.4636,0.4612939127089051,0.6549472047216155,0.5932665385875304,0.6512810360965633,0.4030213930852685,1,0.6860967346443904,0.6042157674301823,0.6451562510372864
23468,2023-11-05,Nice,Rennes,0,0.8282,0.2535371992846345,0.3724806687477729,0.3340903081208305,0.4848981326681256,0.2597831691005073,1,0.3867367405137774,0.26361563224638784,0.3251761863800826
23469,2023-11-05,Nantes,Reims,2,0.3069,0.135574665701566,0.23833533588658,0.2687184922011632,0.3389763420783252,0.2597831691005073,0,0.3139499062007451,0.20683191734467823,0.2603909117727117
23477,2023-11-10,Montpellier,Nice,1,0.3114,0.2511742143248843,0.2360616013144356,0.2432323552575738,0.3771552934277332,0.2597831691005073,0,0.25892914965750485,0.18688995775858933,0.2229095537080471
23471,2023-11-12,Lille,Toulouse,1,0.9517,0.457687138462971,0.4674684649991465,0.5175341982328269,0.6167629173808441,0.4030213930852685,0,0.6550709132922009,0.5109866122934261,0.5830287627928135
23472,2023-11-12,Clermont Foot,Lorient,0,0.6202,0.4304230322870225,0.3145619775172141,0.2834009452779742,0.4784825406606456,0.2597831691005073,1,0.3861977304811331,0.25391811813275583,0.32005792430694446
23474,2023-11-12,Lens,Marseille,0,0.4877,0.7900592329376006,0.4347063565253715,0.4568236871209763,0.5309752090660862,0.4030213930852685,1,0.47293904013469956,0.38188444155154877,0.42741174084312417
23480,2023-11-25,Strasbourg,Marseille,1,0.3091,0.1107563884757594,0.2564986338591647,0.2288217487595449,0.2574405624970999,0.1351619393046386,0,0.1845446768285478,0.2252801805592323,0.20491242869389004
23485,2023-11-25,Clermont Foot,Lens,2,0.2347,0.360158526213529,0.1840720194643698,0.164866015340732,0.3195240830863609,0.2597831691005073,0,0.29882138188287294,0.18507949496629503,0.24195043842458397
23481,2023-11-26,Rennes,Reims,0,0.3142,0.6929623224501797,0.4765517934973367,0.5063109193203119,0.5265007709087869,0.7328336717295563,1,0.7752720936080154,0.6548653006415326,0.7150686971247739
23483,2023-11-26,Lyon,Lille,2,0.3728,0.3304375962383005,0.3786973530300907,0.3893542407309004,0.5362915959607345,0.2597831691005073,0,0.5328888357110804,0.4976475329143207,0.5152681843127005
23484,2023-11-26,Nice,Toulouse,0,0.2704,0.2190213909495104,0.4678162360566368,0.4139914184912738,0.50696788568291,0.4797612927739659,1,0.6139962222075869,0.4744548426175392,0.544225532412563
23487,2023-11-26,Montpellier,Brest,2,0.3495,0.3095706622400448,0.4031562003175451,0.3717381154530252,0.469645789186611,0.2597831691005073,0,0.39153515439358716,0.3292482231682727,0.3603916887809299
23441,2023-11-29,Montpellier,Clermont Foot,1,0.8435,0.3780701379936061,0.3710415859103018,0.3567592328436419,0.3695888318209324,0.2597831691005073,0,0.48685574509933066,0.39642664292942725,0.44164119401437896
23492,2023-12-01,Reims,Strasbourg,0,0.3877,0.2775704675770296,0.4392934161632352,0.4657506403490271,0.4717655462051323,1.0,1,0.5247151934040133,0.46824061956862506,0.4964779064863192
23494,2023-12-02,Nantes,Nice,0,0.3363,0.1873386237653222,0.2484570730625787,0.2483988647199874,0.329302373660815,0.2597831691005073,1,0.23826036195948674,0.1863339422689875,0.2122971521142371
23493,2023-12-02,Lens,Lyon,0,0.3116,0.7859657811894188,0.4100269598651773,0.449522238832221,0.5000579552816952,0.4030213930852685,1,0.47058242979238535,0.4287485824289728,0.44966550611067907
23488,2023-12-03,Toulouse,Lorient,1,0.4927,0.2903619976337918,0.3816921838201808,0.3672242212585028,0.4576820353052414,0.2597831691005073,0,0.40520668239485896,0.3171495867809711,0.36117813458791503
23489,2023-12-03,Marseille,Rennes,0,0.525,0.444469367185606,0.4800449994186703,0.3868948096660618,0.6596444800204643,0.2597831691005073,1,0.4938238611687733,0.3414101764119147,0.41761701879034396
23490,2023-12-03,Monaco,Montpellier,0,0.6916,0.532271826639883,0.6018011900279846,0.5428676306351102,0.604634080828319,0.7328336717295563,1,0.6536908945913057,0.5831976748764994,0.6184442847339026
23496,2023-12-03,Brest,Clermont Foot,0,0.5918,0.3129582024101683,0.3148639210682397,0.2881760693425003,0.3716416925814257,0.4797612927739659,1,0.4382342561271558,0.37978279823308597,0.4090085271801209
23453,2023-12-06,Marseille,Lyon,0,0.8212,0.5199963446273654,0.4326882613907351,0.3361508173466165,0.6048829728036006,0.2597831691005073,1,0.4986280220143872,0.35342794967871766,0.42602798584655244
23478,2023-12-07,Brest,Strasbourg,1,0.2593,0.3107150555169894,0.284107147586864,0.2522083583185425,0.4102010361445761,0.2597831691005073,0,0.33056771221910747,0.2817997178023159,0.3061837150107117
23505,2023-12-08,Montpellier,Lens,1,0.2917,0.222236494951363,0.2031685772583059,0.1993175540305057,0.2259948669519705,0.2597831691005073,0,0.20152160827435842,0.020213250480226822,0.11086742937729262
23500,2023-12-10,Lorient,Marseille,2,0.2153,0.0685830745274747,0.1919695045236351,0.1569029143167927,0.2007072296723147,0.1351619393046386,0,0.0,0.15898336903795096,0.07949168451897548
23501,2023-12-10,Lyon,Toulouse,0,0.7677,0.4584386937271854,0.5285696533335488,0.4896782756670555,0.5210329244299369,0.2597831691005073,1,0.7725608759759721,0.7677684613114041,0.770164668643688
23502,2023-12-10,Nice,Reims,0,0.3788,0.2577605031207708,0.3967002412208171,0.3798483730030242,0.6245155534472548,0.2597831691005073,1,0.6225046848422697,0.46439420954928196,0.5434494471957758
23503,2023-12-10,Clermont Foot,Lille,1,0.4886,0.2135887774472781,0.1832130638456353,0.1637394877812217,0.2952885201349164,0.1435066020391108,0,0.05299435028248587,0.05851616594847204,0.055755258115478955
23509,2023-12-15,Monaco,Lyon,2,0.5417,0.2425200899637316,0.5188207896658783,0.484978364949644,0.485916214802873,0.4030213930852685,0,0.6160694216706727,0.4470848798712124,0.5315771507709426
23511,2023-12-16,Lens,Reims,0,0.4777,0.5457656566045661,0.4522308270109235,0.5112001832114704,0.6274860090225736,0.4030213930852685,1,0.6599349029674607,0.5262837257747943,0.5931093143711275
23512,2023-12-17,Nantes,Brest,2,0.2472,0.419169669950193,0.3190828666417035,0.3133412529679188,0.3450939041976807,0.2597831691005073,0,0.3151158250496757,0.210072655153007,0.26259424010134136
23508,2023-12-17,Lorient,Strasbourg,2,0.2023,0.1850824656793017,0.253963319309843,0.226060884268807,0.3155191852992506,0.2597831691005073,0,0.29553663718380824,0.18004822834300263,0.23779243276340545
23506,2023-12-17,Toulouse,Rennes,1,0.1984,0.1442491736267836,0.3082424728466939,0.2810137340881701,0.3101120019198876,0.2597831691005073,0,0.29282969097896844,0.28415597984500923,0.28849283541198883
23507,2023-12-17,Marseille,Clermont Foot,0,0.9478,0.6068113222957084,0.528315846225502,0.4553989581216297,0.6223618964826878,0.2597831691005073,1,0.40080627073535985,0.29912799720623173,0.3499671339707958
23523,2023-12-20,Brest,Lorient,0,0.7061,0.145028157277627,0.2921995003256939,0.2638209239900795,0.3727171294493148,0.2597831691005073,1,0.23229665329007512,0.20328364233452223,0.21779014781229866
23516,2023-12-20,Strasbourg,Lille,0,0.3031,0.2924327767886024,0.2270119401217108,0.2250772220523532,0.3284370468784394,0.2597831691005073,1,0.23574218520571963,0.03261527160084627,0.13417872840328296
23517,2023-12-20,Toulouse,Monaco,2,0.2233,0.0455894626980654,0.2168542770190663,0.2024979176552614,0.1724107588666742,0.1435066020391108,0,0.08007617597354189,0.0933949202945411,0.0867355481340415
23518,2023-12-20,Lyon,Nantes,0,0.854,0.4961928944094627,0.4763519440215478,0.4669517157228766,0.5455826319814332,0.2597831691005073,1,0.710614812477269,0.6069587943142193,0.6587868033957441
23519,2023-12-20,Nice,Lens,0,0.9242,0.255505926714322,0.284149055021266,0.2899343496952296,0.3765582283421243,0.2597831691005073,1,0.3907962980420012,0.24897577231857504,0.31988603518028813
23520,2023-12-20,Clermont Foot,Rennes,2,0.0682,0.1350160639267875,0.2321419276848388,0.1940915084936157,0.2200705521674704,0.1351619393046386,0,0.1516982533174055,0.1541051071734431,0.1529016802454243
23522,2023-12-20,Montpellier,Marseille,1,0.4519,0.2156721619807395,0.182318456417741,0.1720159330905369,0.2487219879786627,0.1351619393046386,0,0.22340601254718054,0.15698978394669028,0.1901978982469354
23525,2024-01-12,Marseille,Strasbourg,1,0.4848,0.1314309739722721,0.394600149102722,0.3552954920524349,0.4719487914435697,0.2597831691005073,0,0.4963014535575693,0.370845986451747,0.43357372000465816
23524,2024-01-13,Rennes,Nice,0,0.6636,0.4059175085943214,0.3979326478743842,0.4299745657351264,0.4837592588204212,0.7328336717295563,1,0.5987312821141691,0.5663713927832422,0.5825513374487057
23526,2024-01-13,Monaco,Reims,2,0.1577,0.5245010857251264,0.5996601507894478,0.5629005045777222,0.6424701598267173,0.4030213930852685,0,0.684314579763194,0.6643440198942067,0.6743292998287003
23539,2024-01-28,Clermont Foot,Strasbourg,1,0.3932,0.3764801324122755,0.2167980574610029,0.205680746338259,0.2633816941038647,0.2597831691005073,0,0.1810104523051078,0.07608702074749946,0.1285487365263036
23540,2024-01-28,Reims,Nantes,1,0.2729,0.4255073228975474,0.4190297887989507,0.4638964554108071,0.484638075823598,1.0,0,0.46455353448543485,0.4042609457948772,0.434407240140156
23541,2024-01-28,Montpellier,Lille,1,0.5824,0.3270235708250229,0.2316743307705895,0.2232077578372555,0.2995868690688275,0.2597831691005073,0,0.3000248033286905,0.24207609958831613,0.2710504514585033
23548,2024-02-03,Nantes,Lens,2,0.1233,0.1375153410803757,0.2951137472566098,0.2791550589585151,0.2971585281670668,0.2597831691005073,0,0.29699346038657204,0.1972216749323783,0.24710756765947517
23550,2024-02-04,Brest,Nice,1,0.3943,0.192065714878682,0.196242870341928,0.1832213289056753,0.3559584213525259,0.2597831691005073,0,0.2544000225146786,0.19353104120639786,0.22396553186053822
23558,2024-02-10,Lens,Strasbourg,0,0.4354,0.4253776648074793,0.4218598182501367,0.4834748713496347,0.5011632190044686,0.4030213930852685,1,0.684314579763194,0.4666940744214925,0.5755043270923432
23557,2024-02-11,Clermont Foot,Brest,1,0.3099,0.3951521452764726,0.1809417539025835,0.1841283388198183,0.3268121503674996,0.2597831691005073,0,0.2920194236492337,0.23728274342350084,0.2646510835363673
23555,2024-02-11,Nice,Monaco,2,0.3819,0.3289260337192017,0.308534965319727,0.2881764851040982,0.2932145785240306,0.1435066020391108,0,0.3763298405927728,0.30244401403582327,0.33938692731429804
23554,2024-02-11,Lorient,Reims,0,0.6602,0.2708095928959592,0.2195576898377212,0.2137273917935998,0.235766403993323,0.2597831691005073,1,0.25514364519862864,0.21836826823735597,0.23675595671799232
23552,2024-02-11,Toulouse,Nantes,2,0.4236,0.3512424419370815,0.3802898911538102,0.3469513577131493,0.4398604035792589,0.2597831691005073,0,0.3976808192652294,0.2957871693967898,0.3467339943310096
23564,2024-02-16,Lyon,Nice,0,0.3552,0.3502492505517958,0.3806331684569334,0.3827660228676091,0.511180156466454,0.2597831691005073,1,0.46398072539609286,0.3707852731085839,0.41738299925233835
23560,2024-02-18,Strasbourg,Lorient,2,0.2873,0.3262366180907354,0.3495273065842089,0.3404663510602699,0.3843832838307084,0.2597831691005073,0,0.4161639593430843,0.3428577008543874,0.3795108300987359
23561,2024-02-18,Rennes,Clermont Foot,0,0.969,0.3540957957314898,0.5071619893568454,0.5283329459833206,0.5976675243539668,1.0,1,0.6622466292059977,0.5383402285888574,0.6002934288974275
23565,2024-02-18,Reims,Lens,1,0.2395,0.2410677351681445,0.3204839576306122,0.3742540660907534,0.333217945178052,1.0,0,0.3775121580299922,0.33217793913865673,0.3548450485843245
23568,2024-02-18,Brest,Marseille,0,0.7221,0.4263267921152701,0.2095702202146268,0.1626951321302865,0.356148365510515,0.1351619393046386,1,0.1837954230661958,0.1222351086124286,0.15301526583931221
23574,2024-02-24,Lorient,Nantes,2,0.3943,0.3034593336779436,0.2512795004729721,0.2365733248248692,0.3512246683693361,0.2597831691005073,0,0.30230464697103776,0.15292388807670623,0.22761426752387198
23577,2024-02-24,Strasbourg,Brest,2,0.0139,0.1645241002482626,0.2916063757060717,0.2902759698269281,0.3863537558946984,0.2597831691005073,0,0.3397042099736797,0.25703871802599565,0.2983714639998377
23572,2024-02-25,Lens,Monaco,2,0.4987,0.4350633281963367,0.3485917376430502,0.3931864471076946,0.3817461422939593,1.0,0,0.42088290919517424,0.3140410590225993,0.36746198410888675
23573,2024-02-25,Nice,Clermont Foot,1,0.2613,0.75175823690876,0.5044497108311329,0.4553244360037641,0.6622328900089216,0.4797612927739659,0,0.6781816403024171,0.5673158785100528,0.622748759406235
23575,2024-02-25,Marseille,Montpellier,0,0.8131,0.695889492101949,0.5171972931464891,0.4083289975638143,0.6289947738049715,0.2597831691005073,1,0.6195955062978918,0.4610259835522073,0.5403107449250496
23576,2024-02-25,Toulouse,Lille,0,0.7521,0.4817984787937999,0.1828498428401638,0.1840853762923365,0.3479825093867005,0.2597831691005073,1,0.2487560255978988,0.11246384536163272,0.18060993547976575
23582,2024-03-02,Clermont Foot,Marseille,2,0.021,0.0558277049636726,0.1804624258643942,0.144147376876389,0.2663914217878185,0.1351619393046386,0,0.0,0.040897377399019025,0.020448688699509512
23583,2024-03-02,Reims,Lille,2,0.1488,0.2350704077084889,0.2890453583725276,0.3313010670534302,0.3195822268156495,0.7328336717295563,0,0.35059383069276623,0.2562261453837185,0.3034099880382424
23585,2024-03-03,Montpellier,Strasbourg,1,0.3333,0.2541648412392053,0.3691207015822069,0.3342006664093341,0.4645340077618247,0.2597831691005073,0,0.38419046803347917,0.3583812994458855,0.3712858837396823
23581,2024-03-03,Lyon,Lens,2,0.1395,0.1543811038525936,0.3243532117198257,0.3443658186851409,0.4733157433264612,0.2597831691005073,0,0.4159455334369375,0.24174187355024793,0.3288437034935927
23578,2024-03-03,Rennes,Lorient,2,0.2429,0.3935554694387514,0.3969331841960222,0.4369064934778834,0.5643441705276677,0.4030213930852685,0,0.6357007682233521,0.5251443650381126,0.5804225666307323
23579,2024-03-03,Toulouse,Nice,0,0.2623,0.2925417263037475,0.2798982610736377,0.2676436926359156,0.3955427184728831,0.2597831691005073,1,0.23569915668641706,0.18487492651091797,0.2102870415986675
23592,2024-03-08,Nice,Montpellier,2,0.3042,0.5109322924193209,0.4207137773229451,0.3772107700544721,0.4024569842034521,0.2597831691005073,0,0.6266149238598775,0.5083615104934177,0.5674882171766475
23590,2024-03-09,Lorient,Lyon,2,0.0092,0.1690983311463742,0.1913611416909397,0.1755804967189186,0.3533771703262403,0.1351619393046386,0,0.13810880655039418,0.07000451557199981,0.10405666106119699
23593,2024-03-09,Lens,Brest,0,0.3917,0.4905750863341065,0.3983710401025936,0.4985589930765325,0.5403900811714643,0.4030213930852685,1,0.6443057613677778,0.5133739119399284,0.5788398366538532
23588,2024-03-10,Strasbourg,Monaco,2,0.0666,0.0342268153370979,0.1735749823908381,0.1755040610966867,0.1535636188790905,0.1435066020391108,0,0.0,0.0827496022818623,0.04137480114093115
23589,2024-03-10,Marseille,Nantes,0,0.7638,0.6971108489168764,0.4972732170530339,0.4402761189919441,0.6056658611284724,0.2597831691005073,1,0.5729578652492194,0.3988909604822372,0.4859244128657283
