match_id,date,home_team,away_team,result_code,understat_home_win_prob,PolynomialLogReg_home_win_prob,Ridge_home_win_prob,Lasso_home_win_prob,KNN_home_win_prob,DecisionTree_home_win_prob,actual_home_win,RandomForest_home_win_prob,XGBoost_home_win_prob,Ensemble(RF+XGB)_home_win_prob
23381,2023-08-20,Lorient,Nice,1,0.0619,0.5456898328670867,0.2454371598809093,0.1515807096434318,0.3363825542274206,0.2527035822550881,0,0.2625974139492715,0.28641214679893495,0.2745047803741032
23396,2023-08-25,Nantes,Monaco,1,0.0003,0.0313008813498334,0.1043405892139178,0.0531042372284272,0.1969230229366323,0.1435066020391108,0,0.025641025641025644,0.02888318582244891,0.027262105731737277
23392,2023-08-26,Marseille,Brest,0,0.7603,0.4631674297873248,0.4537981179103779,0.423592686635119,0.5151028539895384,0.2527035822550881,1,0.49016397976328235,0.42818851204265435,0.45917624590296835
23390,2023-08-27,Strasbourg,Toulouse,0,0.9442,0.4648161228265945,0.3535503127574466,0.4166778693502028,0.3838479403890321,0.2527035822550881,1,0.500833434044779,0.4658100752048573,0.48332175462481813
23397,2023-08-27,Montpellier,Reims,2,0.2561,0.8442692499654406,0.3869352644727089,0.3925170933171001,0.4365264773730835,0.646633529145956,0,0.3933660213447363,0.35329845203017585,0.3733322366874561
23399,2023-09-02,Monaco,Lens,0,0.5591,0.8347453206631473,0.5195247546821805,0.5964263612669318,0.5419494092166864,0.7979257276681168,1,0.6833302005117364,0.7329671640664466,0.7081486822890914
23406,2023-09-02,Brest,Rennes,1,0.7868,0.5658443963167984,0.1870218146783098,0.1423477111275665,0.2425478488401284,0.1351619393046386,0,0.201922714413429,0.25471083723130133,0.22831677582236515
23398,2023-09-03,Toulouse,Clermont Foot,1,0.1222,0.5003360904875341,0.3078822138795381,0.2951843074268431,0.3610662583583105,0.2527035822550881,0,0.4243810038697136,0.3225095458252419,0.37344527484747775
23400,2023-09-03,Lille,Montpellier,0,0.4945,0.9652226009410888,0.5126566665264487,0.4974375681108319,0.5961008402558677,0.3444706562033606,1,0.6485315325832044,0.4925426516705865,0.5705370921268954
23402,2023-09-03,Nice,Strasbourg,0,0.91,0.1590737286951581,0.4130006239960621,0.3911642745071729,0.5079222049289115,0.2527035822550881,1,0.6641902256333461,0.5190695017899009,0.5916298637116235
23414,2023-09-17,Reims,Brest,2,0.4899,0.251875988052829,0.3179223607207757,0.4000439421089483,0.2763237952746409,0.7979257276681168,0,0.4326370724450698,0.4389635583554972,0.4358003154002835
