match_id,date,season,match_week,home_team,away_team,home_roll_xg_for,home_roll_xg_against,home_roll_xg_diff,away_roll_xg_for,away_roll_xg_against,away_roll_xg_diff,net_xg_diff,home_roll_goals_for,home_roll_goals_against,home_roll_goal_diff,away_roll_goals_for,away_roll_goals_against,away_roll_goal_diff,net_goal_diff,home_roll_won,away_roll_won,net_win_rate,home_roll_points,away_roll_points,net_points,home_squad_value,away_squad_value,squad_value_ratio,log_squad_value_ratio,squad_value_diff,home_avg_player_value,away_avg_player_value,home_squad_age,away_squad_age,home_win_prob,draw_prob,away_win_prob,result,result_code
10668,2018-08-25,2018,4,Nantes,Caen,0.7245905,2.900525,-2.1759345,0.694933,1.9579355,-1.2630025,-0.9129319999999999,0.5,2.5,-2.0,0.5,2.0,-1.5,-0.5,0.0,0.0,0.0,0.0,0.5,-0.5,85000000,40000000,2.125,0.7537718023763802,45000000,3695652.0,1818182.0,26.0,26.3,0.7423,0.1986,0.0591,D,1
10669,2018-08-25,2018,4,Amiens,Reims,0.698047,0.808149,-0.11010200000000003,0.4723825,1.0053014999999998,-0.5329189999999999,0.4228169999999999,0.5,2.0,-1.5,1.0,0.0,1.0,-2.5,0.0,1.0,-1.0,0.0,3.0,-3.0,42000000,55000000,0.7636363636363637,-0.2696635669491026,-13000000,1909091.0,2391304.0,26.0,25.5,0.7858,0.1584,0.0558,H,0
10670,2018-08-26,2018,5,Lille,Guingamp,1.2310225,1.033844,0.19717849999999992,1.362285,1.7794159999999999,-0.4171309999999999,0.6143094999999998,1.5,0.5,1.0,1.0,2.5,-1.5,2.5,0.5,0.0,0.5,2.0,0.0,2.0,180000000,35000000,5.142857142857143,1.6376087894007967,145000000,7500000.0,1590909.0,25.1,26.5,0.7039,0.2075,0.0886,H,0
10671,2018-08-26,2018,5,Bordeaux,Monaco,0.43510275000000004,1.3023799999999999,-0.8672772499999999,2.230765,0.9004775,1.3302874999999998,-2.1975647499999997,0.5,2.0,-1.5,1.5,0.5,1.0,-2.5,0.0,0.5,-0.5,0.0,2.0,-2.0,85000000,380000000,0.2236842105263158,-1.497519996230115,-295000000,3695652.0,15200000.0,26.0,24.2,0.8472,0.12,0.0328,H,0
10672,2018-08-26,2018,5,Marseille,Rennes,2.2151535,0.9327584999999999,1.2823950000000002,0.41900000000000004,1.115692,-0.6966919999999999,1.979087,2.5,1.5,1.0,1.0,1.5,-0.5,1.5,0.5,0.5,0.0,1.5,1.5,0.0,210000000,140000000,1.5,0.4054651081081644,70000000,8750000.0,5833333.0,26.3,24.6,0.1196,0.3095,0.5709,D,1
10673,2018-08-31,2018,5,Lyon,Nice,1.1763243333333333,0.45234033333333334,0.723984,1.1027603333333333,1.1367366666666667,-0.033976333333333386,0.7579603333333333,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,2.0,-1.6666666666666667,2.666666666666667,0.6666666666666666,0.0,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,320000000,130000000,2.4615384615384617,0.9007865453381899,190000000,12800000.0,5416667.0,25.6,25.8,0.7763,0.1713,0.0524,A,2
10674,2018-09-01,2018,6,Nimes,Paris Saint Germain,1.1106173333333333,2.1045956666666665,-0.9939783333333332,2.6677133333333334,1.0158820000000002,1.6518313333333332,-2.6458096666666666,2.3333333333333335,1.6666666666666667,0.6666666666666667,3.0,0.6666666666666666,2.3333333333333335,-1.6666666666666667,0.6666666666666666,1.0,-0.33333333333333337,2.0,3.0,-1.0,50000000,780000000,0.0641025641025641,-2.7472709142554916,-730000000,2272727.0,30000000.0,26.5,25.8,0.0823,0.1712,0.7465,A,2
10675,2018-09-01,2018,6,Angers,Lille,1.4933413333333334,1.2121773333333332,0.2811640000000002,1.3892516666666666,0.8771476666666667,0.5121039999999999,-0.2309399999999997,1.3333333333333333,2.6666666666666665,-1.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,-3.0,0.0,0.6666666666666666,-0.6666666666666666,0.0,2.3333333333333335,-2.3333333333333335,50000000,180000000,0.2777777777777778,-1.2809338454620642,-130000000,2272727.0,7500000.0,26.5,25.1,0.1009,0.3257,0.5734,H,0
10676,2018-09-01,2018,6,Dijon,Caen,2.283396666666667,1.0920303333333334,1.1913663333333335,0.6749706666666667,1.9384736666666667,-1.263503,2.454869333333334,2.6666666666666665,0.3333333333333333,2.333333333333333,0.6666666666666666,1.6666666666666667,-1.0,3.333333333333333,1.0,0.0,1.0,3.0,0.6666666666666666,2.3333333333333335,50000000,40000000,1.25,0.22314355131420976,10000000,2272727.0,1818182.0,26.5,26.3,0.2214,0.3142,0.4644,A,2
10677,2018-09-01,2018,6,Guingamp,Toulouse,1.0961083333333332,1.7548473333333332,-0.658739,1.4112623333333332,1.5781556666666667,-0.16689333333333356,-0.4918456666666664,0.6666666666666666,2.6666666666666665,-2.0,1.0,1.6666666666666667,-0.6666666666666667,-1.3333333333333333,0.0,0.6666666666666666,-0.6666666666666666,0.0,2.0,-2.0,35000000,85000000,0.4117647058823529,-0.8873031950009028,-50000000,1590909.0,3695652.0,26.5,26.0,0.6162,0.2267,0.1571,A,2
10678,2018-09-01,2018,6,Reims,Montpellier,0.548302,1.3979076666666668,-0.8496056666666668,0.6888376666666667,1.1010989999999998,-0.41226133333333315,-0.43734433333333367,1.0,1.3333333333333333,-0.33333333333333326,1.0,1.0,0.0,-0.33333333333333326,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666667,55000000,85000000,0.6470588235294118,-0.4353180712578455,-30000000,2391304.0,3695652.0,25.5,26.0,0.4954,0.3476,0.157,A,2
10679,2018-09-01,2018,6,Strasbourg,Nantes,0.7822623333333333,0.5526171666666667,0.22964516666666657,1.1162436666666666,2.1453653333333333,-1.0291216666666667,1.2587668333333333,1.0,1.0,0.0,0.6666666666666666,2.0,-1.3333333333333335,1.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.3958,0.291,0.3132,A,2
10680,2018-09-02,2018,6,Saint-Etienne,Amiens,0.50317,0.8052533333333333,-0.30208333333333326,1.1930713333333334,0.7721463333333333,0.4209250000000001,-0.7230083333333334,1.0,0.6666666666666666,0.33333333333333337,1.6666666666666667,1.6666666666666667,0.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,1.0,0.6666666666666667,85000000,42000000,2.0238095238095237,0.7049816382069481,43000000,3695652.0,1909091.0,26.0,26.0,0.4122,0.4393,0.1485,D,1
10681,2018-09-02,2018,6,Rennes,Bordeaux,0.83798,1.0879346666666667,-0.24995466666666677,1.0330385,1.0540073333333333,-0.020968833333333325,-0.22898583333333344,1.3333333333333333,1.6666666666666667,-0.3333333333333335,1.0,1.6666666666666667,-0.6666666666666667,0.33333333333333326,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,0.33333333333333326,140000000,85000000,1.6470588235294117,0.4989911661189878,55000000,5833333.0,3695652.0,24.6,26.0,0.8921,0.0855,0.0224,H,0
10682,2018-09-02,2018,6,Monaco,Marseille,1.6729306666666668,1.3432883333333334,0.32964233333333337,1.820909,1.1804856666666665,0.6404233333333336,-0.3107810000000002,1.3333333333333333,1.0,0.33333333333333326,2.3333333333333335,1.6666666666666667,0.6666666666666667,-0.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,380000000,210000000,1.8095238095238095,0.5930637220029628,170000000,15200000.0,8750000.0,24.2,26.3,0.3843,0.2684,0.3473,A,2
10690,2018-09-14,2018,7,Nice,Rennes,0.93034575,1.3368825,-0.40653675,1.2902475,0.927983,0.3622645,-0.76880125,0.5,1.5,-1.0,1.5,1.25,0.25,-1.25,0.25,0.5,-0.25,1.0,1.75,-0.75,130000000,140000000,0.9285714285714286,-0.07410797215372185,-10000000,5416667.0,5833333.0,25.8,24.6,0.4396,0.3147,0.2457,H,0
10691,2018-09-14,2018,7,Paris Saint Germain,Saint-Etienne,2.6387400000000003,1.0556865,1.5830535000000003,0.5617345,0.6852214999999999,-0.1234869999999999,1.7065405000000002,3.25,1.0,2.25,0.75,0.5,0.25,2.0,1.0,0.25,0.75,3.0,1.5,1.5,780000000,85000000,9.176470588235293,2.216642663193321,695000000,30000000.0,3695652.0,25.8,26.0,0.8089,0.1369,0.0542,H,0
10683,2018-09-15,2018,7,Amiens,Lille,0.976085,0.76346675,0.21261825,1.41991625,0.8485870000000001,0.5713292499999999,-0.3587109999999999,1.25,1.25,0.0,1.5,0.5,1.0,-1.0,0.25,0.5,-0.25,1.0,1.75,-0.75,42000000,180000000,0.23333333333333334,-1.455287232606842,-138000000,1909091.0,7500000.0,26.0,25.1,0.0946,0.1774,0.728,A,2
10685,2018-09-15,2018,7,Caen,Lyon,0.8185979999999999,1.6800917499999999,-0.86149375,1.36657325,0.44253075,0.9240425000000001,-1.78553625,1.0,1.25,-0.25,1.0,0.5,0.5,-0.75,0.25,0.5,-0.25,1.25,1.5,-0.25,40000000,320000000,0.125,-2.0794415416798357,-280000000,1818182.0,12800000.0,26.3,25.6,0.6145,0.2412,0.1443,D,1
10686,2018-09-15,2018,7,Dijon,Angers,1.938784,1.13139275,0.80739125,1.31073225,1.2871105,0.023621749999999997,0.7837695,2.0,0.75,1.25,1.25,2.0,-0.75,2.0,0.75,0.25,0.5,2.25,0.75,1.5,50000000,50000000,1.0,0.0,0,2272727.0,2272727.0,26.5,26.5,0.2804,0.295,0.4246,A,2
10688,2018-09-15,2018,7,Montpellier,Strasbourg,0.63390275,1.07974425,-0.4458415000000001,0.94311925,0.738507875,0.20461137499999993,-0.650452875,1.0,0.75,0.25,1.25,1.5,-0.25,0.5,0.5,0.25,0.25,1.75,1.0,0.75,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.1364,0.3984,0.4652,D,1
