match_id,date,season,match_week,home_team,away_team,home_roll_xg_for,home_roll_xg_against,home_roll_xg_diff,away_roll_xg_for,away_roll_xg_against,away_roll_xg_diff,net_xg_diff,home_roll_goals_for,home_roll_goals_against,home_roll_goal_diff,away_roll_goals_for,away_roll_goals_against,away_roll_goal_diff,net_goal_diff,home_roll_won,away_roll_won,net_win_rate,home_roll_points,away_roll_points,net_points,home_squad_value,away_squad_value,squad_value_ratio,log_squad_value_ratio,squad_value_diff,home_avg_player_value,away_avg_player_value,home_squad_age,away_squad_age,home_win_prob,draw_prob,away_win_prob,result,home_roll_poss,away_roll_poss,net_poss,home_attackers,away_attackers,net_attackers,home_roll_gf_fbref,home_roll_ga_fbref,away_roll_gf_fbref,away_roll_ga_fbref,home_player_ga90,away_player_ga90,net_player_ga90,home_starter_ga90,away_starter_ga90,net_starter_ga90,home_squad_depth,away_squad_depth,net_squad_depth,home_minutes_conc,away_minutes_conc,result_code
10664,2018-08-25,2018,4,Paris Saint Germain,Angers,2.985455,0.770873,2.214582,1.487062,0.802151,0.6849109999999999,1.529671,3.0,0.5,2.5,1.5,2.5,-1.0,3.5,1.0,0.0,1.0,3.0,0.0,3.0,780000000,50000000,15.6,2.747270914255491,730000000,30000000.0,2272727.0,25.8,26.5,0.5045,0.2564,0.2391,H,,49.0,,,1.0,,,,1.5,2.5,,,,,,,,,,,,0
10665,2018-08-25,2018,4,Nice,Dijon,0.8007905,0.73397,0.0668204999999999,2.45396,0.7846955,1.6692645,-1.602444,0.5,1.0,-0.5,2.0,0.5,1.5,-2.0,0.0,1.0,-1.0,0.5,3.0,-2.5,130000000,50000000,2.6,0.9555114450274363,80000000,5416667.0,2272727.0,25.8,26.5,0.3039,0.2607,0.4354,A,67.0,39.0,28.0,3.0,1.0,2.0,0.5,1.0,2.0,0.5,,,,,,,,,,,,2
10666,2018-08-25,2018,4,Toulouse,Nimes,0.7558834999999999,2.1238675,-1.3679840000000003,1.4225599999999998,1.7958835,-0.3733235000000001,-0.9946605000000002,1.0,2.5,-1.5,3.5,2.0,1.5,-3.0,0.5,1.0,-0.5,1.5,3.0,-1.5,85000000,50000000,1.7,0.5306282510621704,35000000,3695652.0,2272727.0,26.0,26.5,0.9208,0.0634,0.0158,H,45.0,,,1.0,,,1.0,2.5,,,,,,,,,,,,,,0
10667,2018-08-25,2018,4,Montpellier,Saint-Etienne,0.824484,1.52909,-0.7046060000000001,0.6321964999999999,0.9991075,-0.366911,-0.3376950000000001,1.5,1.5,0.0,1.5,1.0,0.5,-0.5,0.5,0.5,0.0,1.5,2.0,-0.5,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.2784,0.5648,0.1568,D,48.0,,,2.0,,,1.5,1.5,,,,,,,,,,,,,,1
10668,2018-08-25,2018,4,Nantes,Caen,0.7245905,2.900525,-2.1759345,0.694933,1.9579355,-1.2630025,-0.912932,0.5,2.5,-2.0,0.5,2.0,-1.5,-0.5,0.0,0.0,0.0,0.0,0.5,-0.5,85000000,40000000,2.125,0.7537718023763802,45000000,3695652.0,1818182.0,26.0,26.3,0.7423,0.1986,0.0591,D,67.5,35.5,32.0,3.0,1.0,2.0,0.5,2.5,0.5,2.0,,,,,,,,,,,,1
10669,2018-08-25,2018,4,Amiens,Reims,0.698047,0.808149,-0.110102,0.4723825,1.0053014999999998,-0.5329189999999999,0.4228169999999999,0.5,2.0,-1.5,1.0,0.0,1.0,-2.5,0.0,1.0,-1.0,0.0,3.0,-3.0,42000000,55000000,0.7636363636363637,-0.2696635669491026,-13000000,1909091.0,2391304.0,26.0,25.5,0.7858,0.1584,0.0558,H,45.0,31.5,13.5,1.0,1.0,0.0,0.5,2.0,1.0,0.0,,,,,,,,,,,,0
10670,2018-08-26,2018,5,Lille,Guingamp,1.2310225,1.033844,0.1971784999999999,1.362285,1.779416,-0.4171309999999999,0.6143094999999998,1.5,0.5,1.0,1.0,2.5,-1.5,2.5,0.5,0.0,0.5,2.0,0.0,2.0,180000000,35000000,5.142857142857143,1.637608789400797,145000000,7500000.0,1590909.0,25.1,26.5,0.7039,0.2075,0.0886,H,55.0,46.0,9.0,1.0,1.0,0.0,1.5,0.5,1.0,2.5,,,,,,,,,,,,0
10671,2018-08-26,2018,5,Bordeaux,Monaco,0.43510275,1.30238,-0.8672772499999999,2.230765,0.9004775,1.3302874999999998,-2.1975647499999997,0.5,2.0,-1.5,1.5,0.5,1.0,-2.5,0.0,0.5,-0.5,0.0,2.0,-2.0,85000000,380000000,0.2236842105263158,-1.497519996230115,-295000000,3695652.0,15200000.0,26.0,24.2,0.8472,0.12,0.0328,H,41.5,40.5,1.0,3.0,1.0,2.0,0.5,2.0,1.5,0.5,,,,,,,,,,,,0
10672,2018-08-26,2018,5,Marseille,Rennes,2.2151535,0.9327585,1.2823950000000002,0.419,1.115692,-0.6966919999999999,1.979087,2.5,1.5,1.0,1.0,1.5,-0.5,1.5,0.5,0.5,0.0,1.5,1.5,0.0,210000000,140000000,1.5,0.4054651081081644,70000000,8750000.0,5833333.0,26.3,24.6,0.1196,0.3095,0.5709,D,61.5,50.0,11.5,1.0,1.0,0.0,2.5,1.5,1.0,1.5,,,,,,,,,,,,1
10673,2018-08-31,2018,5,Lyon,Nice,1.1763243333333333,0.4523403333333333,0.723984,1.1027603333333331,1.1367366666666667,-0.0339763333333333,0.7579603333333333,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,2.0,-1.6666666666666667,2.666666666666667,0.6666666666666666,0.0,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667,320000000,130000000,2.4615384615384617,0.90078654533819,190000000,12800000.0,5416667.0,25.6,25.8,0.7763,0.1713,0.0524,A,65.0,63.333333333333336,1.6666666666666643,1.0,2.0,-1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,,,,,,,,,,,,2
