league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
FRA-Ligue 1,1819,Bordeaux,Gaëtan Poussin,FRA,GK,19,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Igor Lewczuk,POL,DF,33,1985,6,3,449,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Jaroslav Plašil,CZE,MF,36,1982,23,16,1443,16.0,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06
FRA-Ligue 1,1819,Bordeaux,Jimmy Briand,FRA,"FW,MF",32,1985,35,28,2495,27.7,7,3,10,6,1,1,1,0,0.25,0.11,0.36,0.22,0.32
FRA-Ligue 1,1819,Bordeaux,Josh Maja,NGA,FW,19,1998,7,3,198,2.2,1,0,1,1,0,0,1,0,0.45,0.0,0.45,0.45,0.45
FRA-Ligue 1,1819,Bordeaux,Jules Koundé,FRA,DF,19,1998,37,37,3330,37.0,0,1,1,0,0,0,4,0,0.0,0.03,0.03,0.0,0.03
FRA-Ligue 1,1819,Bordeaux,Lukas Lerager,DEN,MF,25,1993,18,15,1298,14.4,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07
FRA-Ligue 1,1819,Bordeaux,Maxime Poundjé,FRA,DF,25,1992,30,28,2537,28.2,0,2,2,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07
FRA-Ligue 1,1819,Bordeaux,Milan Gajić,SRB,DF,22,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Nicolas de Préville,FRA,"MF,FW",27,1991,23,14,1271,14.1,3,3,6,3,0,0,5,0,0.21,0.21,0.42,0.21,0.42
FRA-Ligue 1,1819,Bordeaux,Otávio,BRA,MF,24,1994,33,33,2875,31.9,0,2,2,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06
FRA-Ligue 1,1819,Bordeaux,Pablo,BRA,DF,27,1991,25,25,1936,21.5,1,1,2,1,0,0,2,3,0.05,0.05,0.09,0.05,0.09
FRA-Ligue 1,1819,Bordeaux,Paul Baysse,FRA,DF,30,1988,1,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Samuel Kalu,NGA,"MF,FW",20,1997,21,14,1281,14.2,3,2,5,3,0,1,3,1,0.21,0.14,0.35,0.21,0.35
FRA-Ligue 1,1819,Bordeaux,Sergi Palencia,ESP,DF,22,1996,25,22,1986,22.1,0,3,3,0,0,0,6,0,0.0,0.14,0.14,0.0,0.14
FRA-Ligue 1,1819,Bordeaux,Till Cissokho,FRA,DF,18,2000,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Toma Bašić,CRO,MF,21,1996,23,16,1333,14.8,2,0,2,2,0,0,3,0,0.14,0.0,0.14,0.14,0.14
FRA-Ligue 1,1819,Bordeaux,Valentín Vada,ARG,"FW,MF",22,1996,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Vukašin Jovanović,SRB,DF,22,1996,16,15,1377,15.3,0,0,0,0,0,0,7,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Yacine Adli,FRA,MF,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Yann Karamoh,FRA,"FW,MF",20,1998,22,13,1224,13.6,3,1,4,3,0,0,2,0,0.22,0.07,0.29,0.22,0.29
FRA-Ligue 1,1819,Bordeaux,Yassine Benrahou,FRA,MF,19,1999,4,1,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Bordeaux,Younousse Sankharé,SEN,MF,28,1989,22,17,1476,16.4,1,3,4,1,0,0,6,0,0.06,0.18,0.24,0.06,0.24
FRA-Ligue 1,1819,Bordeaux,Youssouf Sabaly,SEN,"DF,MF",25,1993,23,21,1908,21.2,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05
FRA-Ligue 1,1819,Bordeaux,Zaydou Youssouf,COM,"MF,FW",19,1999,11,7,422,4.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Adama Mbengue,SEN,"DF,MF",24,1993,11,8,739,8.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Alexander Djiku,GHA,DF,23,1994,31,31,2754,30.6,1,0,1,1,0,0,9,1,0.03,0.0,0.03,0.03,0.03
FRA-Ligue 1,1819,Caen,Aly Ndom,FRA,MF,22,1996,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Baissama Sankoh,GUI,MF,26,1992,15,6,651,7.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Brice Samba,FRA,GK,24,1994,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Casimir Ninga,CHA,"MF,FW",25,1993,33,28,2468,27.4,6,3,9,5,1,1,9,0,0.22,0.11,0.33,0.18,0.29
FRA-Ligue 1,1819,Caen,Claudio Beauvue,GLP,"MF,FW",30,1988,25,16,1499,16.7,3,0,3,2,1,1,1,0,0.18,0.0,0.18,0.12,0.12
FRA-Ligue 1,1819,Caen,Emmanuel Imorou,BEN,DF,29,1988,16,12,1119,12.4,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08
FRA-Ligue 1,1819,Caen,Enzo Crivelli,FRA,FW,23,1995,33,28,2260,25.1,6,1,7,6,0,0,7,0,0.24,0.04,0.28,0.24,0.28
FRA-Ligue 1,1819,Caen,Evens Joseph,FRA,MF,19,1999,13,2,340,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Fayçal Fajr,MAR,MF,29,1988,36,36,3240,36.0,5,4,9,4,1,1,6,0,0.14,0.11,0.25,0.11,0.22
FRA-Ligue 1,1819,Caen,Frederic Guilbert,FRA,"DF,MF",23,1994,34,33,2916,32.4,1,2,3,1,0,0,10,1,0.03,0.06,0.09,0.03,0.09
FRA-Ligue 1,1819,Caen,Herman Moussaki,FRA,MF,19,1999,6,2,204,2.3,0,1,1,0,0,0,1,0,0.0,0.44,0.44,0.0,0.44
FRA-Ligue 1,1819,Caen,Ismaël Diomandé,CIV,"MF,DF",25,1992,18,14,1293,14.4,0,1,1,0,0,0,5,1,0.0,0.07,0.07,0.0,0.07
FRA-Ligue 1,1819,Caen,Jessy Deminguet,FRA,MF,20,1998,20,15,1269,14.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Jonathan Gradit,FRA,DF,25,1992,24,23,2010,22.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Malik Tchokounté,FRA,"FW,MF",29,1988,29,16,1473,16.4,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12
FRA-Ligue 1,1819,Caen,Paul Baysse,FRA,DF,30,1988,20,20,1788,19.9,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Prince Oniangué,CGO,MF,29,1988,31,26,2343,26.0,2,0,2,2,0,0,3,0,0.08,0.0,0.08,0.08,0.08
FRA-Ligue 1,1819,Caen,Romain Genevois,HAI,DF,30,1987,6,5,357,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Saîf-Eddine Khaoui,TUN,"MF,FW",23,1995,25,17,1353,15.0,3,1,4,3,0,0,0,0,0.2,0.07,0.27,0.2,0.27
FRA-Ligue 1,1819,Caen,Stef Peeters,BEL,MF,26,1992,7,5,407,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Timo Stavitski,FIN,"FW,MF",19,1999,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Yacine Bammou,MAR,"MF,FW",26,1991,17,9,923,10.3,2,0,2,1,1,1,2,0,0.2,0.0,0.2,0.1,0.1
FRA-Ligue 1,1819,Caen,Younn Zahary,COM,DF,19,1998,12,7,736,8.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Caen,Yoël Armougom,FRA,"DF,MF",20,1998,29,20,1853,20.6,0,1,1,0,0,0,5,1,0.0,0.05,0.05,0.0,0.05
FRA-Ligue 1,1819,Dijon,Arnold Bouka Moutou,CGO,DF,29,1988,3,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Benjamin Jeannot,FRA,"FW,MF",26,1992,21,19,1436,16.0,2,0,2,2,0,0,3,0,0.13,0.0,0.13,0.13,0.13
FRA-Ligue 1,1819,Dijon,Bobby Allain,FRA,GK,26,1991,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Cédric Yamberé,CTA,DF,27,1990,33,30,2805,31.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Enzo Loiodice,FRA,MF,17,2000,12,10,850,9.4,0,1,1,0,0,0,4,1,0.0,0.11,0.11,0.0,0.11
FRA-Ligue 1,1819,Dijon,Florent Balmont,FRA,MF,38,1980,20,15,1076,12.0,0,1,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08
FRA-Ligue 1,1819,Dijon,Fouad Chafik,MAR,DF,31,1986,21,21,1847,20.5,0,2,2,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1
FRA-Ligue 1,1819,Dijon,Frédéric Sammaritano,FRA,MF,32,1986,14,6,538,6.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Jordan Marié,FRA,MF,26,1991,26,20,1803,20.0,1,1,2,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1
FRA-Ligue 1,1819,Dijon,Jules Keita,GUI,MF,20,1998,17,2,456,5.1,2,1,3,2,0,0,3,0,0.39,0.2,0.59,0.39,0.59
FRA-Ligue 1,1819,Dijon,Júlio Tavares,CPV,FW,29,1988,36,31,2805,31.2,5,4,9,4,1,1,4,0,0.16,0.13,0.29,0.13,0.26
FRA-Ligue 1,1819,Dijon,Kwon Chang-hoon,KOR,"MF,FW",24,1994,19,10,938,10.4,2,0,2,2,0,0,1,0,0.19,0.0,0.19,0.19,0.19
FRA-Ligue 1,1819,Dijon,Laurent Ciman,BEL,DF,32,1985,9,7,717,8.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Mehdi Abeid,ALG,MF,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,0.13,0.0,0.13,0.09,0.09
FRA-Ligue 1,1819,Dijon,Mickaël Alphonse,GLP,DF,29,1989,11,6,571,6.3,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16
FRA-Ligue 1,1819,Dijon,Nayef Aguerd,MAR,DF,22,1996,13,12,1050,11.7,3,0,3,3,0,0,4,1,0.26,0.0,0.26,0.26,0.26
FRA-Ligue 1,1819,Dijon,Naïm Sliti,TUN,"MF,FW",26,1992,35,25,2286,25.4,3,4,7,2,1,1,2,0,0.12,0.16,0.28,0.08,0.24
FRA-Ligue 1,1819,Dijon,Oussama Haddadi,TUN,"DF,MF",26,1992,32,30,2674,29.7,2,2,4,2,0,0,6,1,0.07,0.07,0.13,0.07,0.13
FRA-Ligue 1,1819,Dijon,Romain Amalfitano,FRA,MF,28,1989,32,30,2522,28.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Rúnar Alex Rúnarsson,ISL,GK,23,1995,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Senou Coulibaly,MLI,DF,23,1994,9,6,411,4.6,1,0,1,1,0,0,1,1,0.22,0.0,0.22,0.22,0.22
FRA-Ligue 1,1819,Dijon,Sory Kaba,GUI,FW,23,1995,9,2,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Valentin Rosier,FRA,"DF,MF",21,1996,18,16,1460,16.2,0,4,4,0,0,0,2,0,0.0,0.25,0.25,0.0,0.25
FRA-Ligue 1,1819,Dijon,Wesley Lautoa,NCL,"DF,MF",30,1987,34,34,3024,33.6,0,0,0,0,0,0,12,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Dijon,Wesley Saïd,FRA,"FW,MF",23,1995,34,25,2253,25.0,4,1,5,4,0,1,4,0,0.16,0.04,0.2,0.16,0.2
FRA-Ligue 1,1819,Dijon,Yoann Gourcuff,FRA,MF,32,1986,8,0,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Alexandre Mendy,GNB,FW,24,1994,16,8,767,8.5,3,0,3,3,0,0,2,0,0.35,0.0,0.35,0.35,0.35
FRA-Ligue 1,1819,Guingamp,Cheick Traoré,MLI,DF,23,1995,20,16,1508,16.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Christophe Kerbrat,FRA,DF,31,1986,25,25,2095,23.3,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Didier Ibrahim Ndong,GAB,MF,24,1994,11,8,744,8.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Djégui Koita,FRA,DF,18,1999,2,1,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Franck Tabanou,FRA,DF,29,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Félix Eboa Eboa,CMR,DF,21,1997,27,27,2426,27.0,3,0,3,3,0,0,5,0,0.11,0.0,0.11,0.11,0.11
FRA-Ligue 1,1819,Guingamp,Guessouma Fofana,MTN,MF,25,1992,10,4,479,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Johan Larsson,SWE,DF,28,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Jordan Ikoko,COD,DF,24,1994,20,19,1707,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Jérémy Sorbon,FRA,DF,34,1983,33,29,2647,29.4,1,0,1,1,0,0,2,0,0.03,0.0,0.03,0.03,0.03
FRA-Ligue 1,1819,Guingamp,Karl-Johan Johnsson,SWE,GK,28,1990,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Lebogang Phiri,RSA,MF,23,1994,24,23,1928,21.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
