season,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_win_prob,draw_prob,away_win_prob,result
2018,10694,2018-09-23,Guingamp,Bordeaux,1,3,2.05919,0.812676,0.7165,0.1919,0.0916,A
2018,10699,2018-09-23,Rennes,Paris Saint Germain,1,3,1.29214,1.57303,0.269,0.2903,0.4407,A
2018,10702,2018-09-23,Lyon,Marseille,4,2,2.17661,0.799911,0.7379,0.1803,0.0818,H
2018,10708,2018-09-25,Monaco,Angers,0,1,0.64811,0.353164,0.3986,0.4429,0.1585,A
2018,10709,2018-09-25,Nantes,Nice,1,2,0.867099,1.50808,0.1899,0.2736,0.5365,A
2018,10712,2018-09-25,Toulouse,Saint-Etienne,2,3,1.09674,2.23179,0.1218,0.1972,0.681,A
2018,10703,2018-09-26,Amiens,Rennes,2,1,0.730869,1.83024,0.1154,0.2127,0.6719,H
2018,10704,2018-09-26,Bordeaux,Lille,1,0,0.891123,2.01084,0.0878,0.2253,0.6869,H
2018,10705,2018-09-26,Caen,Montpellier,2,2,0.8109,2.0286,0.0681,0.2009,0.731,D
2018,10706,2018-09-26,Dijon,Lyon,0,3,1.93189,2.46562,0.2738,0.2143,0.5119,A
2018,10707,2018-09-26,Marseille,Strasbourg,3,2,1.27899,0.81086,0.473,0.35,0.177,H
2018,10710,2018-09-26,Nimes,Guingamp,0,0,0.922377,0.355414,0.582,0.3268,0.0912,D
2018,10711,2018-09-26,Paris Saint Germain,Reims,4,1,3.65268,0.326745,0.9812,0.0168,0.002,H
2018,10722,2018-09-28,Saint-Etienne,Monaco,2,0,2.03551,1.85855,0.4137,0.2493,0.337,H
2018,10713,2018-09-29,Angers,Guingamp,0,1,0.366935,1.49767,0.0657,0.2135,0.7208,A
2018,10714,2018-09-29,Caen,Amiens,1,0,1.44696,0.247116,0.7807,0.1872,0.0321,H
2018,10716,2018-09-29,Lyon,Nantes,1,1,2.16048,1.00631,0.6788,0.1968,0.1244,D
2018,10717,2018-09-29,Nice,Paris Saint Germain,0,3,0.34909,3.19562,0.0102,0.05,0.9398,A
2018,10719,2018-09-29,Reims,Bordeaux,0,0,0.63867,0.205687,0.4169,0.4831,0.1,D
2018,10721,2018-09-29,Strasbourg,Dijon,3,0,0.748818,1.0504,0.2485,0.3307,0.4208,H
2018,10715,2018-09-30,Lille,Marseille,3,0,2.94559,0.424331,0.9534,0.0383,0.0083,H
2018,10718,2018-09-30,Montpellier,Nimes,3,0,2.65101,0.941051,0.7949,0.1412,0.0639,H
2018,10720,2018-09-30,Rennes,Toulouse,1,1,2.45218,0.278664,0.9152,0.0726,0.0122,D
2018,10731,2018-10-05,Toulouse,Nice,1,1,1.19251,0.732437,0.4854,0.3081,0.2065,D
2018,10723,2018-10-06,Amiens,Dijon,1,0,0.301024,0.371877,0.1922,0.5686,0.2392,H
2018,10724,2018-10-06,Angers,Strasbourg,2,2,2.15923,1.30474,0.586,0.2323,0.1817,D
2018,10726,2018-10-06,Guingamp,Montpellier,1,1,0.757802,1.08337,0.2246,0.3549,0.4205,D
2018,10727,2018-10-06,Lille,Saint-Etienne,3,1,0.792513,1.33367,0.1513,0.3204,0.5283,H
